id,text,parent
"200","TOTAL - Total EBOPS 2002 Services","#",
"205","1. Transportation","200",
"206","1.1 Sea transport","205",
"207","1.1.1 Passenger","206",
"208","1.1.2 Freight","206",
"209","1.1.3 Other","206",
"210","1.2 Air transport","205",
"211","1.2.1 Passenger","210",
"212","1.2.2 Freight","210",
"213","1.2.3 Other","210",
"214","1.3 Other transport","205",
"215","1.3.1 Passenger","214",
"216","1.3.2 Freight","214",
"217","1.3.3 Other","214",
"218","1.4 Other transport of which: Space transport","205",
"219","1.5 Other transport of which: Rail transport","205",
"220","1.5.1 Passenger","219",
"221","1.5.2 Freight","219",
"222","1.5.3 Other","219",
"223","1.6 Other transport of which: Road transport","205",
"224","1.6.1 Passenger","223",
"225","1.6.2 Freight","223",
"226","1.6.3 Other","223",
"227","1.7 Other transport of which: Inland waterway transport","205",
"228","1.7.1 Passenger","227",
"229","1.7.2 Freight","227",
"230","1.7.3 Other","227",
"231","1.8 Other transport of which: Pipeline transport and electricity transmission","205",
"232","1.9 Other supporting an auxiliary transport services","205",
"236","2. Travel","200",
"237","2.1 Business travel","236",
"238","2.1.1 Expenditure by seasonal and border workers","237",
"239","2.1.2 Other","237",
"240","2.2 Personal travel","236",
"241","2.2.1 Health-related expenditure","240",
"242","2.2.2 Education-related expenditure","240",
"243","2.2.3 Other","240",
"245","3. Communications services","200",
"246","3.1 Postal and courier services","245",
"247","3.2 Telecommunications services","245",
"249","4. Construction services","200",
"250","4.1 Construction abroad","249",
"251","4.2 Construction in the compiling economy","249",
"253","5. Insurance services","200",
"254","5.1 Life insurance and pension funding","253",
"255","5.2 Freight insurance","253",
"256","5.3 Other direct insurance","253",
"257","5.4 Reinsurance","253",
"258","5.5 Auxiliary services","253",
"260","6. Financial services","200",
"262","7. Computer and information services","200",
"263","7.1 Computer services","262",
"264","7.2 Information services","262",
"266","8. Royalties and license fees","200",
"268","9. Other business services","200",
"269","9.1 Merchanting and other trade-related services","268",
"270","9.1.1 Merchanting","269",
"271","9.1.2 Other trade-related services","269",
"272","9.2 Operational leasing services","268",
"273","9.3 Miscellaneous business, professional, and technical services","268",
"274","9.3.1 Legal, accounting, management consulting, and public relations","273",
"275","9.3.1.1 Legal services","274",
"276","9.3.1.2 Accounting, auditing, bookkeeping, and tax consulting services","274",
"277","9.3.1.3 Business and management consulting and public relations services","274",
"278","9.3.2 Advertising, market research, and public opinion polling","273",
"279","9.3.3 Research and development","273",
"280","9.3.4 Architectural, engineering, and other technical services","273",
"281","9.3.5 Agricultural, mining, and on-site processing services","273",
"282","9.3.5.1 Waste treatment and depollution","281",
"283","9.3.5.2 Agricultural, mining, and other on-site processing services","281",
"284","9.3.6 Other business services","273",
"285","9.3.7 Services between related enterprises, n.i.e.","273",
"287","10. Personal, cultural, and recreational services","200",
"288","10.1 Audiovisual and related services","287",
"289","10.2 Other personal, cultural, and recreational services","287",
"291","11. Government services, n.i.e.","200",
"292","11.1 Embassies and consulates","291",
"293","11.2 Military units and agencies","291",
"294","11.3 Other government services","291",
"310","Compensation of employees","900",
"391","Workers' remittance","900",
"431","Migrant's transfers","900",
"500","Direct investment","900",
"858","1.3 Other freight","950",
"862","1.4 Space freight","950",
"863","1.5 Rail freight","950",
"865","1.7 Inland waterway freight","950",
"868","1.8 Pipeline freight","950",
"871","2.3 Travel - All other travel expenditure","970",
"887","5. Financial intermediation services indirectly measured (FISIM)","999",
"888","6. Financial servies including FISIM","999",
"889","7.2.1 News agency services","264",
"890","7.2.2 Other information provision services","264",
"891","8.1 Franchises and similar rights","266",
"892","8.2 Other royalties and license fees","266",
"894","8. Audiovisual transactions","999",
"895","10.2.1 Education services","289",
"896","10.2.2 Health services","289",
"897","10.2.3 Other","289",
"900","Supplementary Items","200",
"950","1. Freight transportation on merchandise, valued on a transaction basis","999",
"951","1.1 Sea freight","950",
"952","1.2 Air freight","950",
"953","1.6 Road freight","950",
"956","2.1 Travel - Expenditure on goods","970",
"957","2.2 Travel - Expenditure on accommodation and food and beverage serving services","970",
"960","3. Gross insurance premiums","999",
"961","4. Gross insurance claims","999",
"962","7. Merchanting gross flows","999",
"970","2. Travel","999",
"972","3.1 Gross premiums - life insurance","960",
"973","4.1 Gross claims - life insurance","961",
"974","3.2 Gross premiums - freight insurance","960",
"975","4.2 Gross claims - freight insurance","961",
"976","3.3 Gross premiums - other direct insurance","960",
"977","4.3 Gross claims - other direct insurance","961",
"983","Service not allocated","200",
"999","Memorandum Items","200",
"205X","1.X Transportation MI","205",
"206X","1.1.X Sea transport MI","206",
"210X","1.2.X Air transport MI","210",
"214X","1.3.X Other transport MI","214",
"219X","1.5.X Other transport of which: Rail transport MI","219",
"223X","1.6.X Other transport of which: Road transport MI","223",
"227X","1.7.X Other transport of which: Inland waterway transport MI","227",
"236X","2.X Travel MI","236",
"237X","2.1.X Business travel MI","237",
"240X","2.2.X Personal travel MI","240",
"245X","3.X Communications services MI","245",
"249X","4.X Construction services MI","249",
"253X","5.X Insurance services MI","253",
"262X","7.X Computer and information services MI","262",
"264X","7.2.X Information services MI","264",
"266X","8.X Royalties and license fees MI","NULL",
"268X","9.X Other business services MI","268",
"269X","9.1.X Merchanting and other trade-related services MI","269",
"273X","9.3.X Miscellaneous business, professional, and technical services MI","273",
"274X","9.3.1.X Legal, accounting, management consulting, and public relations MI","274",
"281X","9.3.5.X Agricultural, mining, and on-site processing services MI","281",
"287X","10.X Personal, cultural, and recreational services MI","287",
"289X","10.2.X Other personal, cultural, and recreational services MI","289",
"291X","11.X Government services, n.i.e. MI","291",
"900X","Supplementary Items MI","900",
"950X","1.X Freight transportation on merchandise, valued on a transaction basis MI","950",
"960X","3.X Gross insurance premiums MI","960",
"961X","4.X  Gross insurance claims MI","961",
"970X","2.X Travel MI","970",
