id,text,parent,isLeaf,aggrlevel
"TOTAL","Total - All S2 Commodities","#","0","0",
"0","0 - Food and live animals chiefly for food","TOTAL","0","1",
"00","00 - Live animals chiefly for food","0","0","2",
"001","001 - Live animals chiefly for food","00","0","3",
"0011","0011 - Animals of the bovine species (including buffaloes), live","001","0","4",
"00111","00111 - ....pure bred for breeding","0011","1","5",
"00119","00119 - ....other than pure bred for breeding","0011","1","5",
"0011X","0011X - Memorandum Item","0011","1","5",
"0012","0012 - Sheep and goats, live","001","0","4",
"00121","00121 - Sheep, live","0012","1","5",
"00122","00122 - Goats, live","0012","1","5",
"0012X","0012X - Memorandum Item","0012","1","5",
"0013","0013 - Swine, live","001","1","4",
"0014","0014 - Poultry, live (i.e., fowls, ducks, geese, turkeys and guinea fowls)","001","0","4",
"00141","00141 - ....of a weight not exceeding 185 grams","0014","1","5",
"00149","00149 - ....of a weight exceeding 185 grams","0014","1","5",
"0014X","0014X - Memorandum Item","0014","1","5",
"0015","0015 - Horses, asses, mules and hinnies, live","001","1","4",
"0019","0019 - Live animals of a kind mainly used for human food, n.e.s.","001","1","4",
"001X","001X - Memorandum Item","001","0","4",
"001XX","001XX - Memorandum Item","001X","1","5",
"00X","00X - Memorandum Item","00","0","3",
"00XX","00XX - Memorandum Item","00X","0","4",
"00XXX","00XXX - Memorandum Item","00XX","1","5",
"01","01 - Meat and meat preparations","0","0","2",
"011","011 - Meat and edible meat offal, fresh, chilled or frozen (except meat and meat offals unfit or unsuitable for human consumption)","01","0","3",
"0111","0111 - Meat of bovine animals, fresh, chilled or frozen, fresh, chilled or frozen","011","0","4",
"01111","01111 - ....with bone in","0111","1","5",
"01112","01112 - ....boneless","0111","1","5",
"0111X","0111X - Memorandum Item","0111","1","5",
"0112","0112 - Meat of sheep and goats, fresh, chilled or frozen","011","1","4",
"0113","0113 - Meat of swine, fresh, chilled or frozen","011","1","4",
"0114","0114 - Poultry, dead (i.e., fowls, ducks, geese, turkeys and guinea fowls) and edible offal thereof (except liver), fresh, chilled or frozen","011","1","4",
"0115","0115 - Meat of horses, asses, mules and hinnies, fresh, chilled or frozen","011","1","4",
"0116","0116 - Edible offal of the animals falling in headings 001.1, 001.2, 001.3 and 001.5, fresh, chilled or frozen","011","1","4",
"0118","0118 - Other fresh, chilled or frozen meat or edible meat offal","011","0","4",
"01181","01181 - Poultry liver, fresh, chilled, frozen, salted or in brine","0118","1","5",
"01189","01189 - Meat and edible meat offals, n.e.s., fresh, chilled, or frozen","0118","1","5",
"0118X","0118X - Memorandum Item","0118","1","5",
"011X","011X - Memorandum Item","011","0","4",
"011XX","011XX - Memorandum Item","011X","1","5",
"012","012 - Meat and edible meat offals (except poultry liver), salted, in brine, dried, or smoked","01","0","3",
"0121","0121 - Bacon, ham, other dried, salted or smoked meat of domestic swine","012","1","4",
"0129","0129 - Meat and edible meat offals, n.e.s., salted, in brine, dried or smoked","012","1","4",
"012X","012X - Memorandum Item","012","0","4",
"012XX","012XX - Memorandum Item","012X","1","5",
"014","014 - Meat and edible meat offal, prepared, preserved, n.e.s.; fish extracts","01","0","3",
"0141","0141 - Meat extracts and meat juices; fish extracts","014","1","4",
"0142","0142 - Sausages and the like, of meat, meat offal or animal blood","014","1","4",
"0149","0149 - Other prepared or preserved meat or meat offals","014","1","4",
"014X","014X - Memorandum Item","014","0","4",
"014XX","014XX - Memorandum Item","014X","1","5",
"01X","01X - Memorandum Item","01","0","3",
"01XX","01XX - Memorandum Item","01X","0","4",
"01XXX","01XXX - Memorandum Item","01XX","1","5",
"02","02 - Dairy products and birds' eggs","0","0","2",
"022","022 - Milk and cream","02","0","3",
"0223","0223 - Milk and cream fresh (including skimmed milk, buttermilk, sour milk, sour cream, whey, kephir and yoghourt), not concentrated or sweetened","022","1","4",
"0224","0224 - Milk and cream, preserved, concentrated or sweetened","022","0","4",
"02241","02241 - Whey","0224","1","5",
"02242","02242 - Milk (other than whey) in powder or granules, containing not more than 1.5% by weight of fat","0224","1","5",
